Geneid	5_R1	5_R2	30_R1	30_R2	60_R1	60_R2	120_R1	120_R2	Entity	Symbol
gene-TX72_RS08260	148	130	19	34	11	6	0	5	host	gene-TX72_RS08260
gene-TX72_RS03810	410	376	49	94	39	19	15	15	host	gene-TX72_RS03810
gene-TX72_RS13860	39	31	16	19	11	5	1	0	host	gene-TX72_RS13860
gene-TX72_RS09020	117	100	17	27	7	1	3	0	host	gene-TX72_RS09020
gene-BSV9_gp40	0	0	3320	7454	43552	20246	19000	26881	phage	gene-BSV9_gp40
gene-BSV9_gp112	0	0	162	450	2169	1098	6387	9797	phage	gene-BSV9_gp112
gene-TX72_RS12510	36	36	8	14	8	3	2	2	host	gene-TX72_RS12510
gene-TX72_RS12680	87	98	8	12	4	1	4	3	host	gene-TX72_RS12680
gene-TX72_RS02790	14	8	5	3	4	1	0	0	host	gene-TX72_RS02790
gene-TX72_RS11925	750	820	136	184	98	45	9	24	host	alaS
gene-TX72_RS12335	75	64	29	59	41	14	5	20	host	gene-TX72_RS12335
gene-TX72_RS03740	80	99	18	12	5	4	3	1	host	gene-TX72_RS03740
gene-TX72_RS14635	9	22	5	2	0	2	0	1	host	gene-TX72_RS14635
gene-TX72_RS01285	107	86	5	14	5	4	1	4	host	gene-TX72_RS01285
gene-TX72_RS14265	253	239	7	32	16	5	4	8	host	gene-TX72_RS14265
gene-TX72_RS06050	73	57	7	17	8	5	2	2	host	gene-TX72_RS06050
gene-TX72_RS10690	2929	2831	401	481	290	105	52	81	host	gene-TX72_RS10690
gene-TX72_RS14560	52	58	5	25	7	4	3	2	host	gene-TX72_RS14560
gene-TX72_RS08730	388	381	72	110	62	24	18	22	host	gene-TX72_RS08730
gene-TX72_RS11660	285	333	32	71	27	7	6	4	host	gshB
gene-TX72_RS05160	1673	1773	157	323	144	69	24	30	host	rpsO
gene-TX72_RS13150	747	586	140	267	128	98	33	46	host	gene-TX72_RS13150
gene-TX72_RS11490	85	95	9	16	11	1	1	3	host	gene-TX72_RS11490
gene-TX72_RS06740	265	287	37	65	22	7	4	4	host	gene-TX72_RS06740
gene-TX72_RS12210	7	2	0	2	0	2	0	0	host	gene-TX72_RS12210
gene-TX72_RS10275	2081	1909	283	404	196	95	42	39	host	ppc
