Geneid	15	60	180	300	420	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-SynWH7803_0321	0.0	0.0	0.0	0.0	0.0	host	cobA	None	None	24.053472238105243
gene-SynWH7803_0973	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_0973	None	None	1493.7814051827343
gene-SynWH7803_0554	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_0554	None	None	1049.0380223995533
gene-RNA_35	0.0	0.0	0.0	0.0	0.0	host	gene-RNA_35	None	None	47.70782088218847
gene-SynWH7803_0295	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_0295	None	None	54.220799872642274
gene-SynWH7803_0020	0.0	0.0	0.0	0.0	0.0	host	pilT	None	None	5.706636495517067
gene-RNA_30	0.0	0.0	0.0	0.0	0.0	host	gene-RNA_30	None	None	214.23224167349392
gene-SynWH7803_0734	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_0734	None	None	21.874608389431977
gene-SynWH7803_2379	0.0	0.0	0.0	0.0	0.0	host	eno	None	None	39.69236297093749
gene-SynWH7803_2474	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_2474	None	None	2.8653938730931903
gene-SynWH7803_2008	0.0	0.0	0.0	0.0	0.0	host	nadD	None	None	5.451598685993634
gene-SynWH7803_0418	0.0	0.0	0.0	0.0	0.0	host	rpsE	None	None	341.20907801135996
gene-SynWH7803_1040	0.0	0.0	0.0	0.0	0.0	host	acsA	None	None	27.397593396458962
gene-SynWH7803_1330	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_1330	None	None	26.397949449919846
gene-SynWH7803_0314	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_0314	None	None	345.77910117429747
gene-SynWH7803_1965	0.0	0.0	0.0	0.0	0.0	host	kaiB	None	None	109.56080319762077
gene-SynWH7803_0150	0.0	0.0	0.0	0.0	0.0	host	crcB	None	None	26.119708134600852
gene-SynWH7803_0172	0.0	0.0	0.0	0.0	0.0	host	mreB	None	None	16.99663755602747
gene-SynWH7803_0857	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_0857	None	None	3.988194710628368
gene-SynWH7803_1777	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_1777	None	None	17.822302473501477
gene-SynWH7803_0636	0.0	0.0	0.0	0.0	0.0	host	phr	None	None	8.049371411755814
gene-SynWH7803_0384	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_0384	None	None	3.2281688975690663
gene-SynWH7803_2355	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_2355	None	None	6.890346869582107
