Geneid	30	480	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-SynWH7803_2006	0.0	0.0	host	gene-SynWH7803_2006	None	None	0.5377497727891623
gene-SynWH7803_1578	0.0	0.0	host	gene-SynWH7803_1578	None	None	0.0440668620994322
gene-SynWH7803_2359	0.0	0.0	host	gene-SynWH7803_2359	None	None	0.45857725798355203
gene-SynWH7803_1002	0.0	0.0	host	gene-SynWH7803_1002	None	None	0.009252868887510549
gene-SynWH7803_1262	0.0	0.0	host	dapF	None	None	3.7083537035529077
gene-RNA_30	0.0	0.0	host	gene-RNA_30	None	None	111.76840891308375
gene-SynWH7803_0369	0.0	0.0	host	clpS	None	None	0.4284234607107315
gene-SynWH7803_2274	0.0	0.0	host	gene-SynWH7803_2274	None	None	3.9610394589139104
gene-SynWH7803_1376	0.0	0.0	host	gene-SynWH7803_1376	None	None	7.683544242211992
gene-SynWH7803_2430	0.0	0.0	host	gene-SynWH7803_2430	None	None	1.5146146708400914
gene-SynWH7803_2441	0.0	0.0	host	gene-SynWH7803_2441	None	None	0.6278815883085421
gene-SynWH7803_0061	0.0	0.0	host	gene-SynWH7803_0061	None	None	0.0032855795770420065
gene-SynWH7803_0197	0.0	0.0	host	acpP	None	None	5.836774943390637
