Geneid	0_R1	0_R2	10_R1	10_R2	30_R1	30_R2	50_R1	50_R2	70_R1	70_R2	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-HB27c_C1349	202	281	76	116	329	218	181	127	300	191	host	gene-HB27c_C1349	None	None	33.4567993470502
gene-HB27c_C1802	734	1284	538	672	1208	794	784	588	659	541	host	gene-HB27c_C1802	None	None	94.09852205551717
gene-HB27c_C1518	98	149	53	63	129	70	42	34	42	26	host	gene-HB27c_C1518	None	None	12.834725848156161
gene-HB27c_C1315	82	148	48	57	92	76	61	46	64	55	host	gene-HB27c_C1315	None	None	5.530170331398947
gene-HB27c_C1260	439	559	295	401	544	409	404	324	539	340	host	gene-HB27c_C1260	None	None	5.264482794733019
gene-HB27c_P0045	33	60	32	23	57	46	36	24	16	10	host	gene-HB27c_P0045	None	None	3.144667950898294
gene-HB27c_P0137	81	94	51	24	52	59	28	14	37	15	host	bcr	None	None	8.474413408409008
gene-HB27c_C1090	20	33	10	12	21	14	9	5	17	5	host	gene-HB27c_C1090	None	None	7.319580841530338
gene-HB27c_C0002	52	76	43	38	86	53	37	34	40	23	host	gene-HB27c_C0002	None	None	5.2073484796522935
gene-HB27c_C0122	27	34	36	25	25	26	12	11	13	14	host	gene-HB27c_C0122	None	None	15.130146087949932
gene-HB27c_P0058	134	191	42	70	115	195	64	94	63	97	host	gene-HB27c_P0058	None	None	24.94034298519088
gene-HB27c_C1169	47	64	34	44	69	41	24	22	21	21	host	gene-HB27c_C1169	None	None	11.347108836267028
gene-HB27c_C0971	76	75	37	34	68	36	39	30	29	17	host	gene-HB27c_C0971	None	None	12.461820279078436
gene-HB27c_C0857	121	152	92	76	127	101	76	63	61	40	host	minC	None	None	16.67544587430878
gene-HB27c_C1526	50	54	17	22	47	38	42	33	40	29	host	gene-HB27c_C1526	None	None	1.9065773108567823
gene-HB27c_P0216	10	10	6	5	13	4	3	2	3	6	host	gene-HB27c_P0216	None	None	1.3427307171005585
gene-HB27c_P0167	33	56	14	21	29	36	17	11	12	10	host	gene-HB27c_P0167	None	None	5.94947768644487
gene-HB27c_C1740	151	209	62	83	143	100	73	61	88	70	host	gene-HB27c_C1740	None	None	8.136712064696013
gene-HB27c_C0787	130	204	56	74	188	139	90	55	108	56	host	gene-HB27c_C0787	None	None	23.236527419760904
gene-HB27c_C0262	226	337	94	103	334	210	153	106	178	152	host	carB	None	None	6.3516089623975756
gene-HB27c_C1865	408	644	224	304	617	371	294	222	352	196	host	gene-HB27c_C1865	None	None	5.177142062898346
gene-HB27c_C1885	220	315	85	109	265	160	133	79	174	115	host	gene-HB27c_C1885	None	None	7.154652936981417
gene-HB27c_P0162	24	35	12	14	29	16	14	13	25	12	host	gene-HB27c_P0162	None	None	1.7701407884483933
gene-HB27c_C0238	203	295	219	331	273	236	185	183	114	89	host	gene-HB27c_C0238	None	None	41.213078181174275
